area,year,latitude,longitude,aqi_openweather_avg,pm2_5_avg,pm10_avg,no2_avg,o3_avg,co_avg
Byrasandra,2025,12.9295931,77.5811810,2.1,21.43,26.53,10.02,53.59,327.1
Byrasandra,2026,12.9295931,77.5811810,3.1,40.65,49.24,6.17,81.26,335.27
C V Raman Nagar,2020,12.9856478,77.6649767,3.63,42.83,47.78,16.51,59.0,566.13
C V Raman Nagar,2021,12.9856478,77.6649767,2.51,24.37,28.53,18.02,41.71,606.76
C V Raman Nagar,2022,12.9856478,77.6649767,2.67,26.97,31.36,19.51,45.67,625.3
C V Raman Nagar,2023,12.9856478,77.6649767,2.22,23.57,27.92,18.23,47.04,591.49
C V Raman Nagar,2024,12.9856478,77.6649767,2.21,22.74,25.86,15.89,49.45,596.5
C V Raman Nagar,2025,12.9856478,77.6649767,2.1,21.43,26.53,10.02,53.59,327.1
C V Raman Nagar,2026,12.9856478,77.6649767,3.18,42.23,50.97,6.06,82.52,332.38
Challakere,2020,13.0275380,77.6412496,3.63,42.83,47.78,16.51,59.0,566.13
Challakere,2021,13.0275380,77.6412496,2.51,24.37,28.53,18.02,41.71,606.76
Challakere,2022,13.0275380,77.6412496,2.67,26.97,31.36,19.51,45.67,625.3
Challakere,2023,13.0275380,77.6412496,2.22,23.57,27.92,18.23,47.04,591.49
Challakere,2024,13.0275380,77.6412496,2.21,22.74,25.86,15.89,49.45,596.5
Challakere,2025,13.0275380,77.6412496,2.1,21.43,26.53,10.02,53.59,327.1
Challakere,2026,13.0275380,77.6412496,3.17,40.45,48.31,4.7,86.43,311.71
Chamrajapet,2020,12.9602381,77.5621140,3.63,42.83,47.78,16.51,59.0,566.13
Chamrajapet,2021,12.9602381,77.5621140,2.51,24.37,28.53,18.02,41.71,606.76
Chamrajapet,2022,12.9602381,77.5621140,2.67,26.97,31.36,19.51,45.67,625.3
Chamrajapet,2023,12.9602381,77.5621140,2.22,23.57,27.92,18.23,47.04,591.49
Chamrajapet,2024,12.9602381,77.5621140,2.21,22.74,25.86,15.89,49.45,596.5
Chamrajapet,2025,12.9602381,77.5621140,2.1,21.43,26.53,10.02,53.59,327.1
Chamrajapet,2026,12.9602381,77.5621140,3.1,40.65,49.24,6.17,81.26,335.27
Chamundi Nagara,2020,13.0341222,77.5993048,3.63,42.83,47.78,16.51,59.0,566.13
Chamundi Nagara,2021,13.0341222,77.5993048,2.51,24.37,28.53,18.02,41.71,606.76
Chamundi Nagara,2022,13.0341222,77.5993048,2.67,26.97,31.36,19.51,45.67,625.3
Chamundi Nagara,2023,13.0341222,77.5993048,2.22,23.57,27.92,18.23,47.04,591.49
Chamundi Nagara,2024,13.0341222,77.5993048,2.21,22.74,25.86,15.89,49.45,596.5
Chamundi Nagara,2025,13.0341222,77.5993048,2.1,21.43,26.53,10.02,53.59,327.1
Chamundi Nagara,2026,13.0341222,77.5993048,3.11,39.04,46.66,4.75,86.43,313.87
Chandra Layout,2020,12.9553330,77.5238903,3.63,42.83,47.78,16.51,59.0,566.13
Chandra Layout,2021,12.9553330,77.5238903,2.51,24.37,28.53,18.02,41.71,606.76
Chandra Layout,2022,12.9553330,77.5238903,2.67,26.97,31.36,19.51,45.67,625.3
Chandra Layout,2023,12.9553330,77.5238903,2.22,23.57,27.92,18.23,47.04,591.49
Chandra Layout,2024,12.9553330,77.5238903,2.21,22.74,25.86,15.89,49.45,596.5
Chandra Layout,2025,12.9553330,77.5238903,2.1,21.43,26.53,10.02,53.59,327.1
Chandra Layout,2026,12.9553330,77.5238903,3.1,40.65,49.24,6.17,81.26,335.27
Chickpete,2020,12.9697837,77.5756901,3.63,42.83,47.78,16.51,59.0,566.13
Chickpete,2021,12.9697837,77.5756901,2.51,24.37,28.53,18.02,41.71,606.76
Chickpete,2022,12.9697837,77.5756901,2.67,26.97,31.36,19.51,45.67,625.3
Chickpete,2023,12.9697837,77.5756901,2.22,23.57,27.92,18.23,47.04,591.49
Chickpete,2024,12.9697837,77.5756901,2.21,22.74,25.86,15.89,49.45,596.5
Chickpete,2025,12.9697837,77.5756901,2.1,21.43,26.53,10.02,53.59,327.1
Chickpete,2026,12.9697837,77.5756901,3.1,40.65,49.24,6.17,81.26,335.27
Chikkabanahalli,2020,13.0184264,77.7534826,3.54,41.03,45.9,6.32,69.59,404.87
Chikkabanahalli,2021,13.0184264,77.7534826,2.41,22.46,26.53,11.94,48.93,447.98
Chikkabanahalli,2022,13.0184264,77.7534826,2.55,24.9,29.17,12.02,54.31,452.68
Chikkabanahalli,2023,13.0184264,77.7534826,2.2,22.47,26.86,12.07,54.33,456.64
Chikkabanahalli,2024,13.0184264,77.7534826,2.13,20.62,23.69,8.62,55.88,437.55
Chikkabanahalli,2025,13.0184264,77.7534826,2.07,20.62,25.4,7.0,54.94,282.11
Chikkabanahalli,2026,13.0184264,77.7534826,3.19,41.14,49.03,4.43,87.4,304.89
Chikkakanneli,2020,12.9043344,77.6902129,3.63,42.83,47.78,16.51,59.0,566.13
Chikkakanneli,2021,12.9043344,77.6902129,2.51,24.37,28.53,18.02,41.71,606.76
Chikkakanneli,2022,12.9043344,77.6902129,2.67,26.97,31.36,19.51,45.67,625.3
Chikkakanneli,2023,12.9043344,77.6902129,2.22,23.57,27.92,18.23,47.04,591.49
Chikkakanneli,2024,12.9043344,77.6902129,2.21,22.74,25.86,15.89,49.45,596.5
Chikkakanneli,2025,12.9043344,77.6902129,2.1,21.43,26.53,10.02,53.59,327.1
Chikkakanneli,2026,12.9043344,77.6902129,3.18,42.23,50.97,6.06,82.52,332.38
Chikkalsandra,2020,12.9091763,77.5493493,3.63,42.83,47.78,16.51,59.0,566.13
Chikkalsandra,2021,12.9091763,77.5493493,2.51,24.37,28.53,18.02,41.71,606.76
Chikkalsandra,2022,12.9091763,77.5493493,2.67,26.97,31.36,19.51,45.67,625.3
Chikkalsandra,2023,12.9091763,77.5493493,2.22,23.57,27.92,18.23,47.04,591.49
Chikkalsandra,2024,12.9091763,77.5493493,2.21,22.74,25.86,15.89,49.45,596.5
Chikkalsandra,2025,12.9091763,77.5493493,2.1,21.43,26.53,10.02,53.59,327.1
Chikkalsandra,2026,12.9091763,77.5493493,3.1,40.65,49.24,6.17,81.26,335.27
Chokkasandra,2020,13.0405342,77.5112239,3.63,42.83,47.78,16.51,59.0,566.13
Chokkasandra,2021,13.0405342,77.5112239,2.51,24.37,28.53,18.02,41.71,606.76
Chokkasandra,2022,13.0405342,77.5112239,2.67,26.97,31.36,19.51,45.67,625.3
Chokkasandra,2023,13.0405342,77.5112239,2.22,23.57,27.92,18.23,47.04,591.49
Chokkasandra,2024,13.0405342,77.5112239,2.21,22.74,25.86,15.89,49.45,596.5
Chokkasandra,2025,13.0405342,77.5112239,2.1,21.43,26.53,10.02,53.59,327.1
Chokkasandra,2026,13.0405342,77.5112239,3.11,39.04,46.66,4.75,86.43,313.87
Chowdeshwari Nagar,2020,12.9977018,77.5139236,3.63,42.83,47.78,16.51,59.0,566.13
Chowdeshwari Nagar,2021,12.9977018,77.5139236,2.51,24.37,28.53,18.02,41.71,606.76
Chowdeshwari Nagar,2022,12.9977018,77.5139236,2.67,26.97,31.36,19.51,45.67,625.3
Chowdeshwari Nagar,2023,12.9977018,77.5139236,2.22,23.57,27.92,18.23,47.04,591.49
Chowdeshwari Nagar,2024,12.9977018,77.5139236,2.21,22.74,25.86,15.89,49.45,596.5
Chowdeshwari Nagar,2025,12.9977018,77.5139236,2.1,21.43,26.53,10.02,53.59,327.1
Chowdeshwari Nagar,2026,12.9977018,77.5139236,3.1,40.65,49.24,6.17,81.26,335.27
Cottonpete,2020,12.9745723,77.5689324,3.63,42.83,47.78,16.51,59.0,566.13
Cottonpete,2021,12.9745723,77.5689324,2.51,24.37,28.53,18.02,41.71,606.76
Cottonpete,2022,12.9745723,77.5689324,2.67,26.97,31.36,19.51,45.67,625.3
Cottonpete,2023,12.9745723,77.5689324,2.22,23.57,27.92,18.23,47.04,591.49
Cottonpete,2024,12.9745723,77.5689324,2.21,22.74,25.86,15.89,49.45,596.5
Cottonpete,2025,12.9745723,77.5689324,2.1,21.43,26.53,10.02,53.59,327.1
Cottonpete,2026,12.9745723,77.5689324,3.1,40.65,49.24,6.17,81.26,335.27
Cox Town,2020,12.9934859,77.6251081,3.63,42.83,47.78,16.51,59.0,566.13
Cox Town,2021,12.9934859,77.6251081,2.51,24.37,28.53,18.02,41.71,606.76
Cox Town,2022,12.9934859,77.6251081,2.67,26.97,31.36,19.51,45.67,625.3
Cox Town,2023,12.9934859,77.6251081,2.22,23.57,27.92,18.23,47.04,591.49
Cox Town,2024,12.9934859,77.6251081,2.21,22.74,25.86,15.89,49.45,596.5
Cox Town,2025,12.9934859,77.6251081,2.1,21.43,26.53,10.02,53.59,327.1
Cox Town,2026,12.9934859,77.6251081,3.18,42.23,50.97,6.06,82.52,332.38
Dattatreya Temple,2020,12.9247983,77.5401436,3.63,42.83,47.78,16.51,59.0,566.13
Dattatreya Temple,2021,12.9247983,77.5401436,2.51,24.37,28.53,18.02,41.71,606.76
Dattatreya Temple,2022,12.9247983,77.5401436,2.67,26.97,31.36,19.51,45.67,625.3
Dattatreya Temple,2023,12.9247983,77.5401436,2.22,23.57,27.92,18.23,47.04,591.49
Dattatreya Temple,2024,12.9247983,77.5401436,2.21,22.74,25.86,15.89,49.45,596.5
Dattatreya Temple,2025,12.9247983,77.5401436,2.1,21.43,26.53,10.02,53.59,327.1
Dattatreya Temple,2026,12.9247983,77.5401436,3.1,40.65,49.24,6.17,81.26,335.27
Dayananda Nagar,2020,12.9094950,77.5659480,3.63,42.83,47.78,16.51,59.0,566.13
Dayananda Nagar,2021,12.9094950,77.5659480,2.51,24.37,28.53,18.02,41.71,606.76
Dayananda Nagar,2022,12.9094950,77.5659480,2.67,26.97,31.36,19.51,45.67,625.3
Dayananda Nagar,2023,12.9094950,77.5659480,2.22,23.57,27.92,18.23,47.04,591.49
Dayananda Nagar,2024,12.9094950,77.5659480,2.21,22.74,25.86,15.89,49.45,596.5
Dayananda Nagar,2025,12.9094950,77.5659480,2.1,21.43,26.53,10.02,53.59,327.1
Dayananda Nagar,2026,12.9094950,77.5659480,3.1,40.65,49.24,6.17,81.26,335.27
Deepanjali Nagar,2020,12.9520333,77.5369961,3.63,42.83,47.78,16.51,59.0,566.13
Deepanjali Nagar,2021,12.9520333,77.5369961,2.51,24.37,28.53,18.02,41.71,606.76
Deepanjali Nagar,2022,12.9520333,77.5369961,2.67,26.97,31.36,19.51,45.67,625.3
Deepanjali Nagar,2023,12.9520333,77.5369961,2.22,23.57,27.92,18.23,47.04,591.49
Deepanjali Nagar,2024,12.9520333,77.5369961,2.21,22.74,25.86,15.89,49.45,596.5
Deepanjali Nagar,2025,12.9520333,77.5369961,2.1,21.43,26.53,10.02,53.59,327.1
Deepanjali Nagar,2026,12.9520333,77.5369961,3.1,40.65,49.24,6.17,81.26,335.27
Defence Colony,2020,12.9761710,77.6435315,3.63,42.83,47.78,16.51,59.0,566.13
Defence Colony,2021,12.9761710,77.6435315,2.51,24.37,28.53,18.02,41.71,606.76
Defence Colony,2022,12.9761710,77.6435315,2.67,26.97,31.36,19.51,45.67,625.3
Defence Colony,2023,12.9761710,77.6435315,2.22,23.57,27.92,18.23,47.04,591.49
